dataset,resource,column,field
local-authority-district,,WKT,geometry
local-authority-district,,lad09cd,reference
local-authority-district,,lad09nm,name
local-authority-district,,lad11cd,reference
local-authority-district,,lad11nm,name
local-authority-district,,lad15cd,reference
local-authority-district,,lad15nm,name
local-authority-district,,lad16cd,reference
local-authority-district,,lad16nm,name
local-authority-district,,lad17cd,reference
local-authority-district,,lad17nm,name
local-authority-district,,lad18cd,reference
local-authority-district,,lad18nm,name
local-authority-district,,lad19cd,reference
local-authority-district,,lad19nm,name
local-authority-district,,lad20cd,reference
local-authority-district,,lad20nm,name
local-authority-district,,lad21cd,reference
local-authority-district,,lad21nm,name
