prefix,reference,entity
statistical-geography,E06000001,8600000
statistical-geography,E06000002,8600001
statistical-geography,E06000003,8600002
statistical-geography,E06000004,8600003
statistical-geography,E06000005,8600004
statistical-geography,E06000006,8600005
statistical-geography,E06000007,8600006
statistical-geography,E06000008,8600007
statistical-geography,E06000009,8600008
statistical-geography,E06000010,8600009
statistical-geography,E06000011,8600010
statistical-geography,E06000012,8600011
statistical-geography,E06000013,8600012
statistical-geography,E06000014,8600013
statistical-geography,E06000015,8600014
statistical-geography,E06000016,8600015
statistical-geography,E06000017,8600016
statistical-geography,E06000018,8600017
statistical-geography,E06000019,8600018
statistical-geography,E06000020,8600019
statistical-geography,E06000021,8600020
statistical-geography,E06000022,8600021
statistical-geography,E06000023,8600022
statistical-geography,E06000024,8600023
statistical-geography,E06000025,8600024
statistical-geography,E06000026,8600025
statistical-geography,E06000027,8600026
statistical-geography,E06000030,8600027
statistical-geography,E06000031,8600028
statistical-geography,E06000032,8600029
statistical-geography,E06000033,8600030
statistical-geography,E06000034,8600031
statistical-geography,E06000035,8600032
statistical-geography,E06000036,8600033
statistical-geography,E06000037,8600034
statistical-geography,E06000038,8600035
statistical-geography,E06000039,8600036
statistical-geography,E06000040,8600037
statistical-geography,E06000041,8600038
statistical-geography,E06000042,8600039
statistical-geography,E06000043,8600040
statistical-geography,E06000044,8600041
statistical-geography,E06000045,8600042
statistical-geography,E06000046,8600043
statistical-geography,E06000047,8600044
statistical-geography,E06000049,8600045
statistical-geography,E06000050,8600046
statistical-geography,E06000051,8600047
statistical-geography,E06000052,8600048
statistical-geography,E06000053,8600049
statistical-geography,E06000054,8600050
statistical-geography,E06000055,8600051
statistical-geography,E06000056,8600052
statistical-geography,E06000057,8600053
statistical-geography,E06000058,8600054
statistical-geography,E06000059,8600055
statistical-geography,E07000004,8600056
statistical-geography,E07000005,8600057
statistical-geography,E07000006,8600058
statistical-geography,E07000007,8600059
statistical-geography,E07000008,8600060
statistical-geography,E07000009,8600061
statistical-geography,E07000010,8600062
statistical-geography,E07000011,8600063
statistical-geography,E07000012,8600064
statistical-geography,E07000026,8600065
statistical-geography,E07000027,8600066
statistical-geography,E07000028,8600067
statistical-geography,E07000029,8600068
statistical-geography,E07000030,8600069
statistical-geography,E07000031,8600070
statistical-geography,E07000032,8600071
statistical-geography,E07000033,8600072
statistical-geography,E07000034,8600073
statistical-geography,E07000035,8600074
statistical-geography,E07000036,8600075
statistical-geography,E07000037,8600076
statistical-geography,E07000038,8600077
statistical-geography,E07000039,8600078
statistical-geography,E07000040,8600079
statistical-geography,E07000041,8600080
statistical-geography,E07000042,8600081
statistical-geography,E07000043,8600082
statistical-geography,E07000044,8600083
statistical-geography,E07000045,8600084
statistical-geography,E07000046,8600085
statistical-geography,E07000047,8600086
statistical-geography,E07000061,8600087
statistical-geography,E07000062,8600088
statistical-geography,E07000063,8600089
statistical-geography,E07000064,8600090
statistical-geography,E07000065,8600091
statistical-geography,E07000066,8600092
statistical-geography,E07000067,8600093
statistical-geography,E07000068,8600094
statistical-geography,E07000069,8600095
statistical-geography,E07000070,8600096
statistical-geography,E07000071,8600097
statistical-geography,E07000072,8600098
